loc_rowid,pl_name,hostname,hd_name,hip_name,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,M2R infered radius [Rearth],Flux Contrast alpha=0 Ag=0.5,Flux Contrast alpha=90 Ag=0.5,SpT Number,Mam Inferred SpT from Teff,Mam Inferred Teff from SpT,Sep arcsec,Sep lod,Re,SpT,StarTeff,Mam Inferred StarRad from Teff,StarRad,Teq,Giant
684,GJ 682 c,GJ 682,,HIP 86214,Gaia DR2 5955305209191546112,1,1,2,Radial Velocity,2014,Published Confirmed,0,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>,57.32,0.45,-0.48,0.0,0.176,0.03,-0.009,0.0,,,,,,,,,,,,,,,,,8.7,5.8,-4.6,0.0,0.02737,0.01825,-0.01447,0.0,8.7,5.8,-4.6,0.0,0.02737,0.01825,-0.01447,0.0,Msini,0.1,0.19,-0.1,0.0,,,,,,,,,,,,,0.0,,,,,320.0,,,0.0,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>,M3.5 V,3028.0,,,0.0,,,,,0.27,,,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h37m02.65s,264.2610245,-44d19m23.71s,-44.3232519,5.00671,0.0021,-0.0021,199.703,0.0832292,-0.0832292,6.544,0.023,-0.023,5.917,0.038,-0.038,5.606,0.02,-0.02,,,,,,,,,,,,,,,,9.57025,0.001221,-0.001221,2019-10-04,2014-06,2019-10-10,2.641615406030032,1.3649741014151886e-07,4.344847508652907e-08,6.35,,,0.03515282490897216,5.410093024042006,2.641615406030032,6.35,3028.0,0.4348395975126854,,,False
685,GJ 685 b,GJ 685,,HIP 86087,Gaia DR2 1439069444391326208,1,1,1,Radial Velocity,2019,Published Confirmed,0,<a refstr=PINAMONTI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A.126P/abstract target=ref>Pinamonti et al. 2019</a>,24.16,0.061,-0.047,0.0,0.1344,0.0052,-0.0051,0.0,,,,,,,,,,,,,,,,,9.0,1.7,-1.8,0.0,0.02832,0.00535,-0.00566,0.0,9.0,1.7,-1.8,0.0,0.02832,0.00535,-0.00566,0.0,Msini,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,<a refstr=PINAMONTI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A.126P/abstract target=ref>Pinamonti et al. 2019</a>,M0.5,3816.0,69.0,-69.0,0.0,0.54,0.05,-0.05,0.0,0.55,0.06,-0.06,0.0,-0.15,0.09,-0.09,0.0,[Fe/H],4.72,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h35m35.05s,263.8960378,+61d40m45.65s,61.6793482,14.3155,0.0081,-0.0081,69.8254,0.0391653,-0.0391653,6.884,0.032,-0.032,6.271,0.017,-0.017,6.066,0.018,-0.018,14.5112,0.0045953,-0.0045953,10.9546,0.000563,-0.000563,9.4399,0.0003375,-0.0003375,8.72079,0.0003863,-0.0003863,8.58293,0.0008492,-0.0008492,9.1671,0.000914,-0.000914,2019-04-08,2019-05,2019-04-11,2.7023037930320197,2.449516524828174e-07,7.797053262233706e-08,6.05,,,0.00938842513359645,1.444898196760481,2.7023037930320197,6.05,3816.0,,0.54,337.3754053895581,False
686,GJ 687 b,GJ 687,,HIP 86162,Gaia DR2 1637645127018395776,0,1,2,Radial Velocity,2014,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,38.152,0.014,-0.014,0.0,0.1658,0.0012,-0.0012,0.0,,,,,,,,,,,,,,,,,17.57591,1.49379,-1.49379,0.0,0.0553,0.0047,-0.0047,0.0,17.57591,1.49379,-1.49379,0.0,0.0553,0.0047,-0.0047,0.0,Msini,0.153,0.077,-0.08,0.0,,,,,,,,,,,,,0.0,,,,,50.0,26.0,-100.0,0.0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,3561.3,41.82,-41.82,0.0,0.4,0.01,-0.01,0.0,0.42,0.01,-0.01,0.0,0.063,0.078,-0.078,0.0,[Fe/H],4.86,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h36m25.00s,264.1041731,+68d20m01.23s,68.3336741,4.54939,0.00068,-0.00068,219.781,0.0324099,-0.0324099,5.335,0.021,-0.021,4.766,0.033,-0.033,4.548,0.021,-0.021,,,,,,,,,,,,,,,,8.02754,0.000862,-0.000862,2021-09-20,2021-07,2021-09-20,4.304076219185907,4.083207251050655e-07,1.299725235346763e-07,,6.002083430696094,,0.03644444639830835,5.6088762634333005,4.304076219185907,6.002083430696094,3561.3,,0.4,243.979928719867,False
691,GJ 720 A b,GJ 720 A,,HIP 91128,Gaia DR2 2118424350249708800,1,2,1,Radial Velocity,2021,Published Confirmed,0,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.157G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2021</a>,19.466,0.005,-0.005,0.0,0.119,0.002,-0.001,0.0,,,,,,,,,,,,,,,,,13.64,0.78,-0.79,0.0,0.04292,0.00245,-0.00249,0.0,13.64,0.78,-0.79,0.0,0.04292,0.00245,-0.00249,0.0,Msini,0.12,0.05,-0.06,0.0,,,,,401.0,32.0,-32.0,0.0,,,,,0.0,2456406.81,0.43,-0.42,0.0,110.22,23.97,-24.28,0.0,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.157G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2021</a>,M0.5 V,3837.0,69.0,-69.0,0.0,0.56,0.06,-0.06,0.0,0.57,0.06,-0.06,0.0,-0.14,0.09,-0.09,0.0,[Fe/H],4.71,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h35m19.06s,278.8294172,+45d44m44.17s,45.7456038,15.5575,0.0061,-0.0061,64.2488,0.0249522,-0.0249522,6.881,0.02,-0.02,6.26,0.021,-0.021,6.082,0.016,-0.016,,,,,,,,,,,,,,,,9.10496,0.000491,-0.000491,2021-07-12,2021-05,2021-07-12,3.5704036483877513,5.454453979397802e-07,1.7362066253768387e-07,6.05,,,0.007649043869516311,1.1772037947510559,3.5704036483877513,6.05,3837.0,,0.56,367.1302244722347,False
696,GJ 849 b,GJ 849,,HIP 109388,Gaia DR2 2627117287488522240,0,1,2,Radial Velocity,2006,Published Confirmed,0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006PASP..118.1685B/abstract target=ref> Butler et al. 2006 </a>,1890.0,130.0,-130.0,0.0,2.35,,,0.0,,,,,,,,,,,,,,,,,260.61,,,0.0,0.82,,,0.0,260.61,,,0.0,0.82,,,0.0,Msini,0.06,0.09,-0.09,0.0,,,,,,,,,,,,,0.0,2451462.0,540.0,-540.0,0.0,351.0,60.0,-60.0,0.0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006PASP..118.1685B/abstract target=ref> Butler et al. 2006 </a>,M3.5 V,,,,,,,,,0.49,0.05,-0.05,0.0,0.16,0.2,-0.2,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h09m41.52s,332.4229938,-04d38m26.99s,-4.6408317,8.80058,0.003615,-0.003615,113.6,0.0463143,-0.0463143,6.51,0.024,-0.024,5.899,0.044,-0.044,5.594,0.017,-0.017,,,,,,,,,,,,,,,,9.2245,0.000651,-0.000651,2018-04-25,2006-12,2014-08-27,11.046395151025756,1.3388008959247481e-08,4.2615356080456355e-09,6.35,,3270.149479508455,0.26702785498228526,41.09614345946464,11.046395151025756,6.35,3270.149479508455,,,,False
702,GJ 849 c,GJ 849,,HIP 109388,Gaia DR2 2627117287488522240,1,1,2,Radial Velocity,2014,Published Confirmed,0,<a refstr=MONTET_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...28M/abstract target=ref>Montet et al. 2014</a>,7068.0,6282.0,-2166.0,0.0,,,,,,,,,,,,,,,,,,,,,223.11554,109.33297,-64.51917,0.0,0.702,0.344,-0.203,0.0,223.11554,109.33297,-64.51917,0.0,0.702,0.344,-0.203,0.0,Msini,,,,,,,,,,,,,,,,,0.0,,,,,,,,,<a refstr=MONTET_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...28M/abstract target=ref>Montet et al. 2014</a>,M3.5,,,,,,,,,0.49,0.05,-0.05,0.0,0.22,0.17,-0.17,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h09m41.52s,332.4229938,-04d38m26.99s,-4.6408317,8.80058,0.003615,-0.003615,113.6,0.0463143,-0.0463143,6.51,0.024,-0.024,5.899,0.044,-0.044,5.594,0.017,-0.017,,,,,,,,,,,,,,,,9.2245,0.000651,-0.000651,2021-06-28,2014-01,2021-06-28,10.863279966845269,,,6.35,,3270.149479508455,,,10.863279966845269,6.35,3270.149479508455,,,,False
704,GJ 86 b,GJ 86,HD 13445,HIP 10138,Gaia DR2 4937000898855759104,0,2,1,Radial Velocity,1999,Published Confirmed,0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,15.76491,0.00039,-0.00039,0.0,0.113,0.0065,-0.0065,0.0,,,,,,,,,,,,,,,,,1242.66,101.7,-101.7,0.0,3.91,0.32,-0.32,0.0,1242.66,101.7,-101.7,0.0,3.91,0.32,-0.32,0.0,Msini,0.0416,0.0072,-0.0072,0.0,,,,,,,,,,,,,0.0,2451903.36,0.59,-0.59,0.0,269.0,16.0,-16.0,0.0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,,5151.0,,,0.0,,,,,0.77,,,0.0,-0.268,,,0.0,[Fe/H],4.59,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h10m29.39s,32.6224785,-50d49m15.58s,-50.8209945,10.7836,0.0054,-0.0053,92.7042,0.0453866,-0.0453866,4.785,0.248,-0.248,4.245,0.28,-0.28,4.125,0.036,-0.036,,,,,,,,,,,,,,,,5.88516,0.0007256,-0.0007256,2018-04-25,2006-07,2014-05-14,11.970727510848292,6.7997786041339434e-06,2.1644367535568507e-06,,4.795114758327764,,0.010478875329203606,1.612720754736861,11.970727510848292,4.795114758327764,5151.0,0.9895546794446426,,,False
707,GJ 876 b,GJ 876,,HIP 113020,Gaia DR2 2603090003484152064,0,1,4,Radial Velocity,1998,Published Confirmed,0,<a refstr=MARCY_ET_AL__1998 href=https://ui.adsabs.harvard.edu/abs/1998ApJ...505L.147M/abstract target=ref> Marcy et al. 1998 </a>,60.85,0.15,-0.15,0.0,0.21,0.01,-0.01,0.0,,,,,,,,,,,,,,,,,670.59,63.56,-63.56,0.0,2.11,0.2,-0.2,0.0,670.59,63.56,-63.56,0.0,2.11,0.2,-0.2,0.0,Msini,0.27,0.03,-0.03,0.0,,,,,,,,,,,,,0.0,2450301.0,1.0,-1.0,0.0,24.0,6.0,-6.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3271.0,157.0,-157.0,0.0,0.35,0.01,-0.01,0.0,0.34,0.02,-0.02,0.0,,,,,,4.87,0.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.67517,0.00167,-0.00167,213.867,0.0758348,-0.0758348,5.934,0.019,-0.019,5.349,0.049,-0.049,5.01,0.021,-0.021,,,,,,,,,,,,,,,,8.8753,0.00145,-0.00145,2014-08-27,1998-10,2014-08-27,11.776420111516913,1.9054544021457536e-06,6.065249738754178e-07,,6.242947883213191,,0.04491815270888545,6.912997326743155,11.776420111516913,6.242947883213191,3271.0,,0.35,186.2570528242187,False
732,GJ 887 b,GJ 887,HD 217987,HIP 114046,Gaia DR2 6553614253923452800,1,1,2,Radial Velocity,2020,Published Confirmed,0,<a refstr=JEFFERS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Sci...368.1477J/abstract target=ref>Jeffers et al. 2020</a>,9.262,0.001,-0.001,0.0,0.068,0.002,-0.002,0.0,,,,,,,,,,,,,,,,,4.2,0.6,-0.6,0.0,0.01321,0.00189,-0.00189,0.0,4.2,0.6,-0.6,0.0,0.01321,0.00189,-0.00189,0.0,Msini,0.0,,,0.0,7.95,0.2,-0.2,0.0,468.0,,,0.0,,,,,0.0,,,,,,,,,<a refstr=JEFFERS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Sci...368.1477J/abstract target=ref>Jeffers et al. 2020</a>,M1 V,3688.0,86.0,-86.0,0.0,0.47,0.09,-0.09,0.0,0.49,0.05,-0.05,0.0,-0.06,0.08,-0.08,0.0,[Fe/H],4.78,,,0.0,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,23h05m52.04s,346.4668274,-35d51m11.0s,-35.8530693,3.29,0.01,-0.01,303.9,0.87,-0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07-02,2020-06,2020-07-09,1.6216932687551087,3.4461182213848073e-07,1.0969334988248853e-07,6.1,,,0.02066869300911854,3.180954934752853,1.6216932687551087,6.1,3688.0,,0.47,427.65464432457907,False
733,GJ 887 c,GJ 887,HD 217987,HIP 114046,Gaia DR2 6553614253923452800,1,1,2,Radial Velocity,2020,Published Confirmed,0,<a refstr=JEFFERS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Sci...368.1477J/abstract target=ref>Jeffers et al. 2020</a>,21.789,0.004,-0.005,0.0,0.12,0.004,-0.004,0.0,,,,,,,,,,,,,,,,,7.6,1.2,-1.2,0.0,0.02391,0.00378,-0.00378,0.0,7.6,1.2,-1.2,0.0,0.02391,0.00378,-0.00378,0.0,Msini,,,,,2.56,0.2,-0.2,0.0,352.0,,,0.0,,,,,0.0,,,,,,,,,<a refstr=JEFFERS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Sci...368.1477J/abstract target=ref>Jeffers et al. 2020</a>,M1 V,3688.0,86.0,-86.0,0.0,0.47,0.09,-0.09,0.0,0.49,0.05,-0.05,0.0,-0.06,0.08,-0.08,0.0,[Fe/H],4.78,,,0.0,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,23h05m52.04s,346.4668274,-35d51m11.0s,-35.8530693,3.29,0.01,-0.01,303.9,0.87,-0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07-02,2020-06,2020-07-09,2.4128859597300485,2.4497494563997595e-07,7.797794706454106e-08,6.1,,,0.0364741641337386,5.6134498848579755,2.4128859597300485,6.1,3688.0,,0.47,321.9267210515719,False
735,GJ 9066 c,GJ 9066,,,Gaia DR2 76868614540049408,1,1,1,Radial Velocity,2020,Published Confirmed,0,<a refstr=QUIRRENBACH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220316504Q/abstract target=ref>Quirrenbach et al. 2022</a>,771.36,1.34,-1.23,0.0,0.88,0.02,-0.02,0.0,,,,,,,,,,,,,,,,,66.74397,6.35657,-6.35657,0.0,0.21,0.02,-0.02,0.0,66.74397,6.35657,-6.35657,0.0,0.21,0.02,-0.02,0.0,Msini,0.46,0.04,-0.04,0.0,,,,,,,,,,,,,0.0,2451411.05,,,0.0,321.79,5.32,-5.67,0.0,<a refstr=QUIRRENBACH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220316504Q/abstract target=ref>Quirrenbach et al. 2022</a>,M5.0 V,3154.0,54.0,-54.0,0.0,0.16,0.01,-0.01,0.0,0.15,0.01,-0.01,0.0,-0.13,0.19,-0.19,0.0,[Fe/H],5.01,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h00m14.12s,30.0588307,+13d02m39.54s,13.0443172,4.471,0.00215,-0.00215,223.635,0.106625,-0.106625,7.514,0.017,-0.017,6.97,0.027,-0.027,6.648,0.017,-0.017,,,,,,,,,,,,,,,,10.6711,0.00094,-0.00094,2022-05-03,2022-03,2022-05-03,8.56789567919826,5.7437240298155555e-08,1.8282841422016932e-08,6.5,,,0.19682397673898455,30.29162026884517,8.56789567919826,6.5,3154.0,,0.16,59.3182256922512,False
737,GJ 96 b,GJ 96,,HIP 11048,Gaia DR2 354077348697687424,1,1,1,Radial Velocity,2018,Published Confirmed,0,<a refstr=HOBSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.103H/abstract target=ref>Hobson et al. 2018</a>,73.94,0.33,-0.38,0.0,0.291,0.005,-0.005,0.0,,,,,,,,,,,,,,,,,19.66,2.42,-2.3,0.0,0.06186,0.00761,-0.00724,0.0,19.66,2.42,-2.3,0.0,0.06186,0.00761,-0.00724,0.0,Msini,0.44,0.09,-0.11,0.0,,,,,,,,,,,,,0.0,2455556.39,10.57,-8.98,0.0,339.58,12.45,-14.52,0.0,<a refstr=HOBSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.103H/abstract target=ref>Hobson et al. 2018</a>,M2,3785.0,62.0,-62.0,0.0,,,,,0.6,0.07,-0.07,0.0,0.14,0.08,-0.08,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h22m14.98s,35.5624031,+47d52m48.75s,47.8802075,11.9315,0.0093,-0.0093,83.7829,0.0649801,-0.0649801,6.377,0.019,-0.019,5.77,0.038,-0.038,5.554,0.026,-0.026,,,,,,,,,,,,,,,,8.63186,0.000584,-0.000584,2018-11-06,2018-10,2018-11-08,4.689211621723052,1.57334605955683e-07,5.008116051452501e-08,6.2,,,0.024389221807819637,3.7535520717318147,4.689211621723052,6.2,3785.0,0.637847126329689,,,False
740,GJ 9827 b,GJ 9827,,HIP 115752,Gaia DR2 2643842302456085888,0,1,3,Transit,2017,Published Confirmed,0,<a refstr=DAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883...79D/abstract target=ref>Dai et al. 2019</a>,1.209,,,0.0,,,,,1.571,0.033,-0.039,0.0,0.14,0.003,-0.003,0.0,4.89,0.43,-0.42,0.0,0.01539,0.00135,-0.00132,0.0,,,,,,,,,4.89,0.43,-0.42,0.0,0.01539,0.00135,-0.00132,0.0,Mass,,,,,,,,,,,,,,,,,0.0,,,,,,,,,<a refstr=DAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883...79D/abstract target=ref>Dai et al. 2019</a>,,4255.0,110.0,-110.0,0.0,0.6,0.01,-0.01,0.0,0.61,0.02,-0.01,0.0,-0.28,0.12,-0.12,0.0,[Fe/H],4.7,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h27m05.23s,351.7717763,-01d17m07.24s,-1.2853435,29.661,0.0543,-0.0541,33.6855,0.0611343,-0.0611343,7.984,0.02,-0.02,7.379,0.042,-0.042,7.193,0.024,-0.024,14.7056,0.0059104,-0.0059104,11.1637,0.0005387,-0.0005387,9.90257,0.0003783,-0.0003783,13.172,0.0087852,-0.0087852,9.85039,0.0012146,-0.0012146,9.83773,0.000411,-0.000411,2019-08-23,2019-09,2019-08-29,,,,,5.452429374689143,,,,1.571,5.452429374689143,4255.0,,0.6,,False
765,GU Psc b,GU Psc,,,Gaia DR2 2784120641627589760,1,1,1,Imaging,2014,Published Confirmed,0,<a refstr=NAUD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787....5N/abstract target=ref> Naud et al. 2014 </a>,,,,,2000.0,200.0,-200.0,0.0,14.179,1.289,-1.289,0.0,1.265,0.115,-0.115,0.0,3591.3,540.3,-540.3,0.0,11.3,1.7,-1.7,0.0,,,,,,,,,3591.3,540.3,-540.3,0.0,11.3,1.7,-1.7,0.0,Mass,,,,,,,,,1050.0,50.0,-50.0,0.0,,,,,0.0,,,,,,,,,<a refstr=NAUD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787....5N/abstract target=ref> Naud et al. 2014 </a>,M3,,,,,,,,,0.33,0.03,-0.03,0.0,0.1,0.13,-0.13,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h12m35.16s,18.146485,+17d03m54.01s,17.0650029,47.5501,0.1649,-0.1638,21.0019,0.0721468,-0.0721468,10.211,0.022,-0.022,9.598,0.022,-0.022,9.345,0.015,-0.015,,,,,,,,,,,,,,,,12.9656,0.001676,-0.001676,2014-05-14,2014-05,2014-05-14,,3.045382046531062e-14,9.693752126174618e-15,6.3,,3429.847484533304,42.06089997707681,6473.260175822533,14.179,6.3,3429.847484533304,,,,False
770,Gl 49 b,Gl 49,,HIP 4872,Gaia DR2 522863309964987520,1,2,1,Radial Velocity,2019,Published Confirmed,0,<a refstr=PERGER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A.123P/abstract target=ref>Perger et al. 2019</a>,13.8508,0.0053,-0.0051,0.0,0.0905,0.0011,-0.0011,0.0,,,,,,,,,,,,,,,,,5.63,0.67,-0.68,0.0,0.01771,0.00211,-0.00214,0.0,5.63,0.67,-0.68,0.0,0.01771,0.00211,-0.00214,0.0,Msini,0.363,0.099,-0.096,0.0,,,,,,,,,,,,,0.0,2455995.88,0.72,-0.78,0.0,43.0,21.0,-21.0,0.0,<a refstr=PERGER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A.123P/abstract target=ref>Perger et al. 2019</a>,M1.5 V,3805.0,51.0,-51.0,0.0,0.51,0.02,-0.02,0.0,0.52,0.02,-0.02,0.0,0.13,0.16,-0.16,0.0,[Fe/H],4.69,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h02m40.50s,15.6687321,+62d20m43.58s,62.3454386,9.8528,0.00328,-0.00328,101.465,0.0335353,-0.0335353,6.23,0.021,-0.021,5.582,0.024,-0.024,5.371,0.02,-0.02,,,,,,,,,,,,,,,,8.66282,0.000685,-0.000685,2019-06-07,2019-04,2019-06-13,1.973478112383778,2.881230736414321e-07,9.17124227777282e-08,6.1499999999999995,,,0.009185206235790841,1.4136223848102722,1.973478112383778,6.1499999999999995,3805.0,,0.51,398.40361219981685,False
